metric,value,notes
horizon_2000_verdict,PASS,horizon_ms=2000;scope=DECLARED_L2_BASELINE
horizon_2000_positive_research_claim_allowed,False,horizon_ms=2000;scope=DECLARED_L2_BASELINE
horizon_2000_l2_baseline_blocker,False,horizon_ms=2000;scope=DECLARED_L2_BASELINE
horizon_3000_horizon_ms,3000,horizon_ms=3000;scope=DECLARED_L2_BASELINE
horizon_3000_eligible_positions,1,horizon_ms=3000;scope=DECLARED_L2_BASELINE
horizon_3000_evaluable_positions,1,horizon_ms=3000;scope=DECLARED_L2_BASELINE
horizon_3000_coverage_ratio,1.0,horizon_ms=3000;scope=DECLARED_L2_BASELINE
horizon_3000_samples_per_position_p50,122,horizon_ms=3000;scope=DECLARED_L2_BASELINE
horizon_3000_samples_per_position_p90,122,horizon_ms=3000;scope=DECLARED_L2_BASELINE
horizon_3000_max_gap_ms_p90,1000,horizon_ms=3000;scope=DECLARED_L2_BASELINE
horizon_3000_max_gap_ms_max,1000,horizon_ms=3000;scope=DECLARED_L2_BASELINE
horizon_3000_duplicate_sample_count,0,horizon_ms=3000;scope=DECLARED_L2_BASELINE
horizon_3000_non_monotonic_sample_count,0,horizon_ms=3000;scope=DECLARED_L2_BASELINE
horizon_3000_censored_count,0,horizon_ms=3000;scope=DECLARED_L2_BASELINE
horizon_3000_horizon_unmatured_count,0,horizon_ms=3000;scope=DECLARED_L2_BASELINE
horizon_3000_retention_gap_count,0,horizon_ms=3000;scope=DECLARED_L2_BASELINE
horizon_3000_path_sample_coverage_gap_count,0,horizon_ms=3000;scope=DECLARED_L2_BASELINE
horizon_3000_verdict,PASS,horizon_ms=3000;scope=DECLARED_L2_BASELINE
horizon_3000_positive_research_claim_allowed,False,horizon_ms=3000;scope=DECLARED_L2_BASELINE
horizon_3000_l2_baseline_blocker,False,horizon_ms=3000;scope=DECLARED_L2_BASELINE
horizon_10000_horizon_ms,10000,horizon_ms=10000;scope=DECLARED_L2_BASELINE
horizon_10000_eligible_positions,1,horizon_ms=10000;scope=DECLARED_L2_BASELINE
horizon_10000_evaluable_positions,1,horizon_ms=10000;scope=DECLARED_L2_BASELINE
horizon_10000_coverage_ratio,1.0,horizon_ms=10000;scope=DECLARED_L2_BASELINE
horizon_10000_samples_per_position_p50,122,horizon_ms=10000;scope=DECLARED_L2_BASELINE
horizon_10000_samples_per_position_p90,122,horizon_ms=10000;scope=DECLARED_L2_BASELINE
horizon_10000_max_gap_ms_p90,1000,horizon_ms=10000;scope=DECLARED_L2_BASELINE
horizon_10000_max_gap_ms_max,1000,horizon_ms=10000;scope=DECLARED_L2_BASELINE
horizon_10000_duplicate_sample_count,0,horizon_ms=10000;scope=DECLARED_L2_BASELINE
horizon_10000_non_monotonic_sample_count,0,horizon_ms=10000;scope=DECLARED_L2_BASELINE
horizon_10000_censored_count,0,horizon_ms=10000;scope=DECLARED_L2_BASELINE
horizon_10000_horizon_unmatured_count,0,horizon_ms=10000;scope=DECLARED_L2_BASELINE
horizon_10000_retention_gap_count,0,horizon_ms=10000;scope=DECLARED_L2_BASELINE
horizon_10000_path_sample_coverage_gap_count,0,horizon_ms=10000;scope=DECLARED_L2_BASELINE
horizon_10000_verdict,PASS,horizon_ms=10000;scope=DECLARED_L2_BASELINE
horizon_10000_positive_research_claim_allowed,False,horizon_ms=10000;scope=DECLARED_L2_BASELINE
horizon_10000_l2_baseline_blocker,False,horizon_ms=10000;scope=DECLARED_L2_BASELINE
horizon_30000_horizon_ms,30000,horizon_ms=30000;scope=DECLARED_L2_BASELINE
horizon_30000_eligible_positions,1,horizon_ms=30000;scope=DECLARED_L2_BASELINE
horizon_30000_evaluable_positions,1,horizon_ms=30000;scope=DECLARED_L2_BASELINE
horizon_30000_coverage_ratio,1.0,horizon_ms=30000;scope=DECLARED_L2_BASELINE
horizon_30000_samples_per_position_p50,122,horizon_ms=30000;scope=DECLARED_L2_BASELINE
horizon_30000_samples_per_position_p90,122,horizon_ms=30000;scope=DECLARED_L2_BASELINE
horizon_30000_max_gap_ms_p90,1000,horizon_ms=30000;scope=DECLARED_L2_BASELINE
horizon_30000_max_gap_ms_max,1000,horizon_ms=30000;scope=DECLARED_L2_BASELINE
horizon_30000_duplicate_sample_count,0,horizon_ms=30000;scope=DECLARED_L2_BASELINE
horizon_30000_non_monotonic_sample_count,0,horizon_ms=30000;scope=DECLARED_L2_BASELINE
horizon_30000_censored_count,0,horizon_ms=30000;scope=DECLARED_L2_BASELINE
horizon_30000_horizon_unmatured_count,0,horizon_ms=30000;scope=DECLARED_L2_BASELINE
horizon_30000_retention_gap_count,0,horizon_ms=30000;scope=DECLARED_L2_BASELINE
horizon_30000_path_sample_coverage_gap_count,0,horizon_ms=30000;scope=DECLARED_L2_BASELINE
horizon_30000_verdict,PASS,horizon_ms=30000;scope=DECLARED_L2_BASELINE
horizon_30000_positive_research_claim_allowed,False,horizon_ms=30000;scope=DECLARED_L2_BASELINE
horizon_30000_l2_baseline_blocker,False,horizon_ms=30000;scope=DECLARED_L2_BASELINE
horizon_120000_horizon_ms,120000,horizon_ms=120000;scope=DECLARED_L2_BASELINE
horizon_120000_eligible_positions,1,horizon_ms=120000;scope=DECLARED_L2_BASELINE
horizon_120000_evaluable_positions,1,horizon_ms=120000;scope=DECLARED_L2_BASELINE
horizon_120000_coverage_ratio,1.0,horizon_ms=120000;scope=DECLARED_L2_BASELINE
horizon_120000_samples_per_position_p50,122,horizon_ms=120000;scope=DECLARED_L2_BASELINE
horizon_120000_samples_per_position_p90,122,horizon_ms=120000;scope=DECLARED_L2_BASELINE
horizon_120000_max_gap_ms_p90,1000,horizon_ms=120000;scope=DECLARED_L2_BASELINE
horizon_120000_max_gap_ms_max,1000,horizon_ms=120000;scope=DECLARED_L2_BASELINE
horizon_120000_duplicate_sample_count,0,horizon_ms=120000;scope=DECLARED_L2_BASELINE
horizon_120000_non_monotonic_sample_count,0,horizon_ms=120000;scope=DECLARED_L2_BASELINE
horizon_120000_censored_count,0,horizon_ms=120000;scope=DECLARED_L2_BASELINE
horizon_120000_horizon_unmatured_count,0,horizon_ms=120000;scope=DECLARED_L2_BASELINE
horizon_120000_retention_gap_count,0,horizon_ms=120000;scope=DECLARED_L2_BASELINE
horizon_120000_path_sample_coverage_gap_count,0,horizon_ms=120000;scope=DECLARED_L2_BASELINE
horizon_120000_verdict,PASS,horizon_ms=120000;scope=DECLARED_L2_BASELINE
horizon_120000_positive_research_claim_allowed,False,horizon_ms=120000;scope=DECLARED_L2_BASELINE
horizon_120000_l2_baseline_blocker,False,horizon_ms=120000;scope=DECLARED_L2_BASELINE
horizon_300000_horizon_ms,300000,horizon_ms=300000;scope=UNDECLARED_FOR_L2_BASELINE
horizon_300000_eligible_positions,1,horizon_ms=300000;scope=UNDECLARED_FOR_L2_BASELINE
horizon_300000_evaluable_positions,0,horizon_ms=300000;scope=UNDECLARED_FOR_L2_BASELINE
horizon_300000_coverage_ratio,0.0,horizon_ms=300000;scope=UNDECLARED_FOR_L2_BASELINE
horizon_300000_samples_per_position_p50,122,horizon_ms=300000;scope=UNDECLARED_FOR_L2_BASELINE
horizon_300000_samples_per_position_p90,122,horizon_ms=300000;scope=UNDECLARED_FOR_L2_BASELINE
horizon_300000_max_gap_ms_p90,,horizon_ms=300000;scope=UNDECLARED_FOR_L2_BASELINE
horizon_300000_max_gap_ms_max,,horizon_ms=300000;scope=UNDECLARED_FOR_L2_BASELINE
horizon_300000_duplicate_sample_count,0,horizon_ms=300000;scope=UNDECLARED_FOR_L2_BASELINE
horizon_300000_non_monotonic_sample_count,0,horizon_ms=300000;scope=UNDECLARED_FOR_L2_BASELINE
horizon_300000_censored_count,0,horizon_ms=300000;scope=UNDECLARED_FOR_L2_BASELINE
horizon_300000_horizon_unmatured_count,0,horizon_ms=300000;scope=UNDECLARED_FOR_L2_BASELINE
horizon_300000_retention_gap_count,0,horizon_ms=300000;scope=UNDECLARED_FOR_L2_BASELINE
horizon_300000_path_sample_coverage_gap_count,1,horizon_ms=300000;scope=UNDECLARED_FOR_L2_BASELINE
horizon_300000_verdict,NOT_EVALUABLE_UNDECLARED_FOR_L2_BASELINE,horizon_ms=300000;scope=UNDECLARED_FOR_L2_BASELINE
horizon_300000_positive_research_claim_allowed,False,horizon_ms=300000;scope=UNDECLARED_FOR_L2_BASELINE
horizon_300000_l2_baseline_blocker,False,horizon_ms=300000;scope=UNDECLARED_FOR_L2_BASELINE
horizon_500000_horizon_ms,500000,horizon_ms=500000;scope=UNDECLARED_FOR_L2_BASELINE
horizon_500000_eligible_positions,1,horizon_ms=500000;scope=UNDECLARED_FOR_L2_BASELINE
horizon_500000_evaluable_positions,0,horizon_ms=500000;scope=UNDECLARED_FOR_L2_BASELINE
horizon_500000_coverage_ratio,0.0,horizon_ms=500000;scope=UNDECLARED_FOR_L2_BASELINE
horizon_500000_samples_per_position_p50,122,horizon_ms=500000;scope=UNDECLARED_FOR_L2_BASELINE
horizon_500000_samples_per_position_p90,122,horizon_ms=500000;scope=UNDECLARED_FOR_L2_BASELINE
horizon_500000_max_gap_ms_p90,,horizon_ms=500000;scope=UNDECLARED_FOR_L2_BASELINE
horizon_500000_max_gap_ms_max,,horizon_ms=500000;scope=UNDECLARED_FOR_L2_BASELINE
horizon_500000_duplicate_sample_count,0,horizon_ms=500000;scope=UNDECLARED_FOR_L2_BASELINE
horizon_500000_non_monotonic_sample_count,0,horizon_ms=500000;scope=UNDECLARED_FOR_L2_BASELINE
horizon_500000_censored_count,0,horizon_ms=500000;scope=UNDECLARED_FOR_L2_BASELINE
horizon_500000_horizon_unmatured_count,0,horizon_ms=500000;scope=UNDECLARED_FOR_L2_BASELINE
horizon_500000_retention_gap_count,0,horizon_ms=500000;scope=UNDECLARED_FOR_L2_BASELINE
horizon_500000_path_sample_coverage_gap_count,1,horizon_ms=500000;scope=UNDECLARED_FOR_L2_BASELINE
horizon_500000_verdict,NOT_EVALUABLE_UNDECLARED_FOR_L2_BASELINE,horizon_ms=500000;scope=UNDECLARED_FOR_L2_BASELINE
horizon_500000_positive_research_claim_allowed,False,horizon_ms=500000;scope=UNDECLARED_FOR_L2_BASELINE
horizon_500000_l2_baseline_blocker,False,horizon_ms=500000;scope=UNDECLARED_FOR_L2_BASELINE
